NP,CR,F,lambda
67,0.7270730610124546,0.6869740701483646,0.44226872211976587
64,0.6516792787652732,1.1940639164360625,0.6980835338776231
14,0.6467536211893884,0.8103561973224267,0.8310241875558956
45,0.7562141638249782,0.9919602057513845,0.17294965609839985
56,0.8191838777130942,0.4445972198190462,0.5647189511574251
44,0.5134893356881935,1.0672818890228153,0.7388921423979105
28,0.99447439171745,0.6356689901786949,0.31756556206025593
76,0.9360744170097042,0.3036876171542575,0.2002738500170148
37,0.8825229638133909,0.929748894221029,0.0016527635528529095
23,0.5956377788638861,0.5534268198709379,0.935779519670907
